year,fossil_pct,oil_pct,renewables_kWh,temperature
1990,87.33,64.35,0.0,18.04
1991,86.68,66.95,0.0,17.3
1992,90.08,72.92,0.0,17.4
1993,95.53,69.95,0.0,17.06
1994,92.68,67.06,0.0,17.93
1995,94.95,45.59,0.0,18.46
1996,84.39,37.02,0.0,17.68
1997,84.68,37.57,0.0,18.35
1998,86.3,28.68,0.0,18.04
1999,93.6,40.03,0.0,17.79
2000,93.92,25.64,64640000.0,17.98
2001,92.84,15.49,205700000.0,18.38
2002,93.15,17.55,195140000.0,18.12
2003,89.99,19.11,197980000.0,18.31
2004,89.72,18.85,193120000.0,17.99
2005,91.77,17.44,204200000.0,17.99
2006,91.3,16.14,180460000.0,18.35
2007,92.09,16.98,280330000.0,17.97
2008,92.06,23.01,300110000.0,17.96
2009,84.6,20.48,407830000.0,18.49
2010,81.89,23.49,680260000.0,18.59
2011,88.84,26.8,734460000.0,18.39
2012,90.81,25.52,805860000.0,18.25
2013,80.0,16.79,1434460000.0,18.03
2014,82.1,9.21,2006770000.0,18.47
2015,80.44,7.08,2568810000.0,18.59
2016,80.2,8.97,3452810000.0,18.67
2017,80.97,10.52,3535550000.0,18.88
2018,77.35,3.49,4876370000.0,17.71
2019,77.76,1.9,6364250000.0,18.27
2020,78.27,1.72,6194710000.0,18.72
2021,77.82,3.23,7010430000.0,18.51
